length,gc_content,entropy,matches,best_algorithm,BMH_parallel_time,BP_parallel_time,KMP_parallel_time,margin_of_victory
64,0.2,0.3,0,BMH,2201,3878.0,8252,1.7619263970922308
64,0.2,1.1,0,BMH,3711,4750.0,7202,1.2799784424683374
64,0.2,1.9,0,BP,7667,1660.0,7699,4.61867469879518
64,0.5,0.3,0,BMH,898,1649.0,8138,1.8363028953229399
64,0.5,1.1,0,BMH,909,1839.0,8126,2.0231023102310233
64,0.5,1.9,0,BP,6473,1782.0,7691,3.632435465768799
64,0.8,0.3,0,BMH,881,1658.0,7625,1.8819523269012486
64,0.8,1.1,0,BMH,1610,2651.0,7163,1.646583850931677
64,0.8,1.9,0,BP,2616,1774.0,6272,1.4746335963923336
128,0.2,0.3,0,BMH,682,,6844,10.035190615835777
128,0.2,1.1,0,BMH,1405,,6378,4.539501779359431
128,0.2,1.9,0,BMH,3150,,6711,2.1304761904761906
128,0.5,0.3,0,BMH,754,,7214,9.567639257294429
128,0.5,1.1,0,BMH,748,,6135,8.20187165775401
128,0.5,1.9,0,BMH,3771,,6713,1.7801644126226466
128,0.8,0.3,0,BMH,856,,7109,8.304906542056075
128,0.8,1.1,0,BMH,761,,5761,7.570302233902759
128,0.8,1.9,0,BMH,6045,,9602,1.588420181968569
256,0.2,0.3,0,BMH,486,,7783,16.01440329218107
256,0.2,1.1,0,BMH,3154,,5936,1.8820545339251744
256,0.2,1.9,0,BMH,3724,,7508,2.016111707841031
256,0.5,0.3,0,BMH,550,,7116,12.938181818181818
256,0.5,1.1,0,BMH,752,,6241,8.299202127659575
256,0.5,1.9,0,KMP,12551,,6356,1.974669603524229
256,0.8,0.3,0,BMH,503,,6474,12.870775347912526
256,0.8,1.1,0,BMH,5190,,7780,1.4990366088631986
256,0.8,1.9,0,BMH,4117,,6906,1.6774350255040078
512,0.2,0.3,0,BMH,417,,7142,17.127098321342924
512,0.2,1.1,0,BMH,3882,,6404,1.6496651210716127
512,0.2,1.9,0,BMH,4203,,7246,1.7240066619081609
512,0.5,0.3,0,BMH,695,,6119,8.80431654676259
512,0.5,1.1,0,BMH,549,,7325,13.342440801457196
512,0.5,1.9,0,BMH,6478,,7510,1.1593084285273232
512,0.8,0.3,0,BMH,415,,6469,15.587951807228915
512,0.8,1.1,0,BMH,1025,,6704,6.540487804878048
512,0.8,1.9,0,BMH,3828,,9390,2.4529780564263324
1000,0.2,0.3,0,BMH,224,,7145,31.897321428571427
1000,0.2,1.1,0,BMH,2929,,8755,2.9890747695459203
1000,0.2,1.9,0,BMH,6774,,8795,1.2983466194272217
1000,0.5,0.3,0,BMH,396,,8652,21.848484848484848
1000,0.5,1.1,0,BMH,807,,7541,9.344485749690211
1000,0.5,1.9,0,BMH,10706,,61530,5.747244535774332
1000,0.8,0.3,0,BMH,336,,5750,17.113095238095237
1000,0.8,1.1,0,BMH,1244,,6186,4.972668810289389
1000,0.8,1.9,0,KMP,16002,,7173,2.230865746549561
2000,0.2,0.3,0,BMH,377,,6477,17.180371352785144
2000,0.2,1.1,0,BMH,2765,,6698,2.4224231464737795
2000,0.2,1.9,0,KMP,15062,,6364,2.3667504714016343
2000,0.5,0.3,0,BMH,200,,5809,29.045
2000,0.5,1.1,0,BMH,491,,6819,13.887983706720977
2000,0.5,1.9,0,KMP,17559,,6873,2.554779572239197
2000,0.8,0.3,0,BMH,149,,6195,41.577181208053695
2000,0.8,1.1,0,BMH,1004,,6102,6.077689243027889
2000,0.8,1.9,0,BMH,3223,,7180,2.2277381321749923
